id,name,type,year,source,image_url,match_status
mahouka-koukou-no-rettousei-movie-hoshi-wo-yobu-shoujo,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-mahouka-koukou-no-rettousei-movie-hoshi-wo-yobu-shoujo-مترجم.jpg,matched_name
mahouka-koukou-no-rettousei-tsuioku-hen,Mahouka Koukou no Rettousei: Tsuioku-hen,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/الحلقة-الخاصة-mahouka-koukou-no-rettousei-tsuioku-hen.jpg,matched_name
maken-ki,Maken-Ki!,anime,,witanime,,not_found_on_site
maken-ki-two,Maken-Ki! Two,anime,,witanime,,not_found_on_site
masou-gakuen-hxh,Masou Gakuen HxH,anime,,witanime,,not_found_on_site
megumi-no-daigo-kyuukoku-no-orange,Megumi no Daigo: Kyuukoku no Orange,anime,,witanime,,not_found_on_site
meitantei-conan-hannin-no-hanzawa-san,Meitantei Conan: Hannin no Hanzawa-san,anime,,witanime,,not_found_on_site
migi-to-dali,Migi to Dali,anime,,witanime,,not_found_on_site
mix-meisei-story,Mix: Meisei Story,anime,,witanime,,not_found_on_site
mob-psycho-100,Mob Psycho 100,anime,,witanime,,not_found_on_site
mobile-suit-gundam-hathaway-s-flash,Mobile Suit Gundam: Hathaway's Flash,anime,,witanime,,not_found_on_site
monogatari-series-second-season,Monogatari Series: Second Season,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/monogatari-series-second-season.png,matched_slug
monster-musume-no-iru-nichijou,Monster Musume no Iru Nichijou,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/monster-musume-no-iru-nichijou.jpg,matched_slug
mou-ippon,Mou Ippon!,anime,,witanime,,not_found_on_site
mushikaburi-hime,Mushikaburi-hime,anime,,witanime,,not_found_on_site
nanatsu-no-maken-ga-shihai-suru,Nanatsu no Maken ga Shihai suru,anime,,witanime,,not_found_on_site
nanatsu-no-taizai-seisen-no-shirushi,Nanatsu no Taizai: Seisen no Shirushi,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/nanatsu-no-taizai-seisen-no-shirushi.png,matched_slug
nande-koko-ni-sensei-ga,Nande Koko ni Sensei ga!?,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/nande-koko-ni-sensei-ga.jpg,matched_slug
naruto,Naruto,anime,,witanime,,not_found_on_site
naruto-shippuuden,Naruto: Shippuuden,anime,,witanime,,not_found_on_site
nekomonogatari-kuro,Nekomonogatari: Kuro,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/nekomonogatari-kuro.jpg,matched_slug
new-game,New Game!,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/new-game.jpg,matched_slug
new-game-watashi-shain-ryokou-tte-hajimete-nano-de,"New Game! Watashi, Shain Ryokou tte Hajimete nano de",anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-new-game-watashi-shain-ryokou-tte-hajimete-nano-de.jpg,matched_name
niehime-to-kemono-no-ou,Niehime to Kemono no Ou,anime,,witanime,,not_found_on_site
nihon-chinbotsu-2020-2,Nihon Chinbotsu 2020,anime,,witanime,,not_found_on_site
ningen-fushin-no-boukensha-tachi-ga-sekai-wo-sukuu-you-desu,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,anime,,witanime,,not_found_on_site
nisemonogatari,Nisemonogatari,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/nisemonogatari.jpg,matched_slug
nokemono-tachi-no-yoru,Nokemono-tachi no Yoru,anime,,witanime,,not_found_on_site
noumin-kanren-no-skill-bakka-agetetara-nazeka-tsuyoku-natta,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta,anime,,witanime,,not_found_on_site
ojou-to-banken-kun,Ojou to Banken-kun,anime,,witanime,,not_found_on_site
okashi-na-tensei,Okashi na Tensei,anime,,witanime,,not_found_on_site
ooyukiumi-no-kaina,Ooyukiumi no Kaina,anime,,witanime,,not_found_on_site
otonari-ni-ginga,Otonari ni Ginga,anime,,witanime,,not_found_on_site
ousama-game-the-animation,Ousama Game The Animation,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/ousama-game-the-animation.jpg,matched_slug
ousama-ranking-yuuki-no-takarabako,Ousama Ranking: Yuuki no Takarabako,anime,,witanime,,not_found_on_site
overtake,Overtake!,anime,,witanime,,not_found_on_site
